neighbourhood,CountyName,zillow_price_january,zillow_price_february,zillow_price_march,zillow_price_april,zillow_price_may,zillow_price_june,zillow_price_july,zillow_price_august,zillow_price_september,zillow_price_october,zillow_price_november,zillow_price_december,nypd_precinct,borough,airbnb_count_december,airbnb_count_november,airbnb_count_october,airbnb_count_september,airbnb_count_august,airbnb_count_july,airbnb_count_june,airbnb_count_may,airbnb_count_april,airbnb_count_march,airbnb_count_february,airbnb_count_january,misdemeanor_count_december,misdemeanor_count_november,misdemeanor_count_october,misdemeanor_count_september,misdemeanor_count_august,misdemeanor_count_july,misdemeanor_count_june,misdemeanor_count_may,misdemeanor_count_april,misdemeanor_count_march,misdemeanor_count_february,misdemeanor_count_january,felony_count_december,felony_count_november,felony_count_october,felony_count_september,felony_count_august,felony_count_july,felony_count_june,felony_count_may,felony_count_april,felony_count_march,felony_count_february,felony_count_january,violation_count_december,violation_count_november,violation_count_october,violation_count_september,violation_count_august,violation_count_july,violation_count_june,violation_count_may,violation_count_april,violation_count_march,violation_count_february,violation_count_january
BATTERY PARK,New York County,1202098,1188040,1179427,1174136,1170441,1163801,1155967,1148911,1139638,1133179,1128296,1127036,1,Manhattan,72,29,26,27,28,23,27,20,22,22,56,56,143,112,148,177,140,131,167,140,150,138,133,157,82,59,89,81,68,71,55,31,125,63,34,64,3,2,66,1,5,9,0,3,1,3,0,20
FINANCIAL DISTRICT,New York County,1498209,1491483,1493544,1491049,1486160,1478850,1472788,1466553,1456557,1440032,1420047,1402082,1,Manhattan,776,487,485,501,462,470,442,456,448,455,619,641,143,112,148,177,140,131,167,140,150,138,133,157,82,59,89,81,68,71,55,31,125,63,34,64,3,2,66,1,5,9,0,3,1,3,0,20
SOHO,New York County,2434618,2451883,2444955,2443430,2451864,2479997,2495153,2496669,2483356,2495149,2516817,2529193,1,Manhattan,356,131,119,118,129,135,141,136,129,117,354,386,143,112,148,177,140,131,167,140,150,138,133,157,82,59,89,81,68,71,55,31,125,63,34,64,3,2,66,1,5,9,0,3,1,3,0,20
TRIBECA,New York County,3269134,3253077,3231236,3226478,3215182,3208773,3198677,3189363,3171677,3160604,3151164,3136692,1,Manhattan,196,90,77,79,86,80,81,78,74,73,163,168,143,112,148,177,140,131,167,140,150,138,133,157,82,59,89,81,68,71,55,31,125,63,34,64,3,2,66,1,5,9,0,3,1,3,0,20
CHINATOWN,New York County,905193,903413,893354,883014,873759,873586,874640,879863,879503,884718,886829,892956,5,Manhattan,376,176,168,176,169,176,161,194,173,181,367,382,95,131,132,126,116,136,145,135,154,154,125,125,170,159,169,176,188,192,161,175,145,118,216,169,0,0,2,2,1,1,5,3,60,3,1,2
LITTLE ITALY,New York County,2275733,2268948,2249754,2230249,2220368,2220366,2226594,2228244,2224159,2229757,2241495,2246240,5,Manhattan,390,95,75,76,61,56,47,78,63,60,317,373,95,131,132,126,116,136,145,135,154,154,125,125,170,159,169,176,188,192,161,175,145,118,216,169,0,0,2,2,1,1,5,3,60,3,1,2
GREENWICH VILLAGE,New York County,1265760,1267346,1256394,1225634,1201292,1186074,1172977,1159092,1139970,1125671,1121417,1119158,6,Manhattan,371,167,160,156,144,151,140,160,146,151,436,452,83,103,127,139,142,126,115,99,95,86,65,105,71,74,100,94,79,95,69,77,71,45,56,77,1,2,2,0,1,2,1,1,3,1,0,2
WEST VILLAGE,New York County,1179780,1171769,1172403,1173867,1170514,1169044,1170223,1163239,1157784,1147811,1144231,1142665,6,Manhattan,774,406,388,377,363,367,388,388,381,384,798,814,83,103,127,139,142,126,115,99,95,86,65,105,71,74,100,94,79,95,69,77,71,45,56,77,1,2,2,0,1,2,1,1,3,1,0,2
LOWER EAST SIDE,New York County,986175,991685,996981,997347,998319,1006379,1019149,1037796,1051378,1053512,1050620,1048779,7,Manhattan,1020,636,620,591,606,610,617,586,627,637,1058,1101,78,96,74,95,115,124,88,130,142,139,120,159,45,52,61,52,82,60,46,55,55,73,51,73,1,1,0,2,0,1,3,1,2,0,3,0
EAST VILLAGE,New York County,866407,860754,865874,878339,888128,887671,883026,877138,871057,867085,866926,871363,9,Manhattan,1925,1293,1255,1228,1263,1286,1274,1330,1266,1282,2674,2725,70,86,87,92,80,96,104,113,116,87,81,118,38,53,57,66,93,59,58,83,70,86,40,48,0,0,3,0,0,2,0,0,0,4,3,4
